"íxÇÍì˙êî","ïiñ⁄î‘çÜ","ãüããé“","égópé“","êÊçsÇkÅ^Çs","ÇoÅ^ÇeÅiëóÇËêÊÅj","äiî[ÉçÉP","ïiñ⁄ñºèÃ","ÉIÅ[É_Å[ÇmÇè","éwé¶ì˙","î[ì¸éûçè","éwé¶êîó ","écêîó ","ê∂ééãÊï™","type"
0,"69J4113111CA80","6298","9550",0,"MF10","AD2","MANIFOLD, EXT. 1","00772",20240515,1100,30,30,,"T2"
0,"69J4113710CA80","6298","9550",0,"MF10","AD2","GUIDE, EXHAUST","00772",20240515,1100,30,30,,"T2"
0,"6KA45511000080","93B4","9523",0,"MF16","AC1","SHAFT,DRIVE 1","00825",20240515,1000,100,100,,"T"
0,"6CE45511000080","93B4","9523",0,"MF16","AC1","SHAFT,DRIVE 1","00350",20240515,1000,16,16,,"T"
0,"6P245511010080","93B4","9523",0,"MF16","AC1","SHAFT,DRIVE 1","00760",20240515,1000,37,37,,"T"
0,"6AW45611000080","93B4","9523",0,"MF16","AC1","SHAFT,PROPELLER","00217",20240515,1000,18,18,,"T"
0,"6CB45611000080","93B4","9523",0,"MF16","AC1","SHAFT,PROPELLER","00945",20240515,1000,80,80,,"T"
0,"6JD45511000080","93B4","9523",0,"MF16","AC1","SHAFT,DRIVE 1","00580",20240515,1000,25,25,,"T"
0,"6JD45511100080","93B4","9523",0,"MF16","AC1","SHAFT,DRIVE 1","00479",20240515,1000,4,4,,"T"
0,"63P45511010080","93B4","9529",0,"MF16","AF1","SHAFT,DRIVE 1","00827",20240515,1000,20,20,,"T"
0,"6MLY126A000080","6451","9543",0,"MF15","A0A","AIR SHROUD,CYLINDER 3 SUB","00097",20240515,1000,50,50,,"T"
0,"6GR24596010080","6451","9543",0,"MF15","A0A","COVER","00574",20240515,1000,10,10,,"T"
0,"6EK81337010080","6236","9546",0,"MF15","A0B","COVER,FLYWHEEL","00525",20240515,1000,20,20,,"T"
0,"69J1531110CA80","3525","9550",0,"MF10","AD2","PAN,OIL","00772",20240515,1000,30,30,,"T"
0,"6CB11411000080","9182","9832",0,"MF36","BC1","CRANKSHAFT,1","00665",20240515,1000,36,36,,"T"
0,"63P11411040080","9182","9835",0,"MF36","BD1","CRANKSHAFT,1","00641",20240515,1000,5,5,,"T"
0,"6FP14200030080","0161","9847",0,"MF32","BED","INTAKE ASSY.","00899",20240515,1000,20,20,,"T"
0,"6P281337020080","6451","9543",0,"MF15","A0A","COVER,FLYWHEEL","00256",20240515,1600,40,40,,"T2"
0,"6CE42741028D80","7510","9543",0,"MF20","A0A","APRON 1","00980",20240515,1600,30,30,,"T2"
0,"6CE42771028D80","7510","9543",0,"MF20","A0A","APRON 2","00980",20240515,1600,30,30,,"T2"
0,"63P82314010080","6451","9546",0,"MF15","A0B","COVER,IGNITION COIL","00703",20240515,1600,20,20,,"T2"
0,"6DA82314010080","6451","9546",0,"MF15","A0B","COVER,IGNITION COIL","00058",20240515,1600,20,20,,"T2"
0,"63P81337110080","6451","9546",0,"MF15","A0B","COVER,FLYWHEEL","00673",20240515,1600,20,20,,"T2"
0,"6DA81337010080","6451","9546",0,"MF15","A0B","COVER,FLYWHEEL","00043",20240515,1600,20,20,,"T2"
0,"69J4113111CA80","6298","9550",0,"MF10","AD2","MANIFOLD, EXT. 1","00773",20240515,1600,20,20,,"T2"
0,"69J4113710CA80","6298","9550",0,"MF10","AD2","GUIDE, EXHAUST","00773",20240515,1600,20,20,,"T2"
0,"6KNY161A000080","9856","9832",0,"MF35","BC1","HEAD CYL.1 ASSY.","00280",20240515,1600,10,10,,"T2"
0,"6KNY162A000080","9856","9832",0,"MF35","BC1","HEAD CYL.2 ASSY.","00280",20240515,1600,10,10,,"T2"
0,"6FP14200030080","0161","9847",0,"MF32","BED","INTAKE ASSY.","00900",20240515,1600,10,10,,"T2"
0,"6C514200030080","0161","9847",0,"MF32","BED","INTAKE ASSY.","00106",20240515,1600,20,20,,"T2"
0,"6CB45511010080","93B4","9523",0,"MF16","AC1","SHAFT,DRIVE 1","00776",20240515,1500,30,30,,"T"
0,"6P245511110080","93B4","9523",0,"MF16","AC1","SHAFT,DRIVE 1","00528",20240515,1500,3,3,,"T"
0,"69J45611000080","93B4","9523",0,"MF16","AC1","SHAFT, PROPELLER","00076",20240515,1500,27,27,,"T"
0,"6CB45611000080","93B4","9523",0,"MF16","AC1","SHAFT,PROPELLER","00946",20240515,1500,80,80,,"T"
0,"6EK81337010080","6236","9546",0,"MF15","A0B","COVER,FLYWHEEL","00526",20240515,1500,20,20,,"T"
0,"69J1531110CA80","3525","9550",0,"MF10","AD2","PAN,OIL","00773",20240515,1500,20,20,,"T"
0,"6EK81337010080","6236","9567",0,"MF15","A0C","COVER,FLYWHEEL","00586",20240515,1500,20,20,,"T"
0,"6CB11411000080","9182","9832",0,"MF36","BC1","CRANKSHAFT,1","00666",20240515,1500,72,72,,"T"
0,"6P2Y1A4A100080","9182","9832",0,"MF36","BC1","CRANKSHAFT ASSY.,1","00716",20240515,1500,30,30,,"T"
0,"6GR11411010080","9182","9832",0,"MF36","BC1","CRANKSHAFT,1","00233",20240515,1500,10,10,,"T"
0,"6DAY1A4A000080","9182","9835",0,"MF36","BD1","CRANKSHAFT ASSY.,1","00122",20240515,1500,40,40,,"T"
0,"6EK11411010080","9182","9835",0,"MF36","BD1","CRANKSHAFT,1","00248",20240515,1500,30,30,,"T"
0,"6C511411100080","9182","9844",0,"MF36","BEA","CRANKSHAFT,1","00228",20240515,1500,25,25,,"T"
0,"69W11411100080","9182","9844",0,"MF36","BEA","CRANKSHAFT,1","00381",20240515,1500,40,40,,"T"
0,"6EK11411010080","9182","9844",0,"MF36","BEA","CRANKSHAFT,1","00409",20240515,1500,30,30,,"T"
0,"6KAY427E008D80","9194","9543",0,"MF20","A0A","APRON 1 COMP. ASSY","00117",20240515,1000,15,15,,"T4"
0,"6KAY427H008D80","9194","9543",0,"MF20","A0A","APRON 2 COMP. ASSY","00117",20240515,1000,15,15,,"T4"
0,"6KAY427E00CE80","9194","9543",0,"MF20","A0A","APRON 1 COMP. ASSY","00169",20240515,1000,13,13,,"T4"
0,"6KAY427E00CE80","9194","9543",0,"MF20","A0A","APRON 1 COMP. ASSY","00170",20240515,1200,53,53,,"T4"
0,"6KAY427H00CE80","9194","9543",0,"MF20","A0A","APRON 2 COMP. ASSY","00169",20240515,1000,13,13,,"T4"
0,"6KAY427H00CE80","9194","9543",0,"MF20","A0A","APRON 2 COMP. ASSY","00170",20240515,1200,53,53,,"T4"
0,"6GRY427E008D80","9194","9543",0,"MF20","A0A","APRON 1 COMP. ASSY","00570",20240515,1500,4,4,,"T4"
0,"6GRY427H008D80","9194","9543",0,"MF20","A0A","APRON 2 COMP. ASSY","00570",20240515,1500,4,4,,"T4"
0,"6GR45141008D80","9194","9543",0,"MF20","A0A","COVER UPPER CASING COMP.","00570",20240515,1500,4,4,,"T4"
0,"6KF42740008D80","9194","9543",0,"MF20","A0A","APRON 1 COMP.","00383",20240515,1000,12,12,,"T4"
0,"6KF42770008D80","9194","9543",0,"MF20","A0A","APRON COMP 2","00383",20240515,1000,12,12,,"T4"
