"íxÇÍì˙êî","ïiñ⁄î‘çÜ","ãüããé“","égópé“","êÊçsÇkÅ^Çs","ÇoÅ^ÇeÅiëóÇËêÊÅj","äiî[ÉçÉP","ïiñ⁄ñºèÃ","ÉIÅ[É_Å[ÇmÇè","éwé¶ì˙","î[ì¸éûçè","éwé¶êîó ","écêîó ","ê∂ééãÊï™","type"
0,"69J4113111CA80","6298","9550",0,"MF10","AD2","MANIFOLD, EXT. 1","00766",20240509,1100,20,20,,"T2"
0,"69J4113710CA80","6298","9550",0,"MF10","AD2","GUIDE, EXHAUST","00766",20240509,1100,20,20,,"T2"
0,"6KA45511000080","93B4","9523",0,"MF16","AC1","SHAFT,DRIVE 1","00822",20240509,1000,100,100,,"T"
0,"6CB45511010080","93B4","9523",0,"MF16","AC1","SHAFT,DRIVE 1","00774",20240509,1000,30,30,,"T"
0,"6CE45511000080","93B4","9523",0,"MF16","AC1","SHAFT,DRIVE 1","00347",20240509,1000,21,21,,"T"
0,"6CE45511100080","93B4","9523",0,"MF16","AC1","SHAFT,DRIVE 1","00750",20240509,1000,11,11,,"T"
0,"6AW45611000080","93B4","9523",0,"MF16","AC1","SHAFT,PROPELLER","00214",20240509,1000,18,18,,"T"
0,"6CB45611000080","93B4","9523",0,"MF16","AC1","SHAFT,PROPELLER","00941",20240509,1000,80,80,,"T"
0,"6JD45511000080","93B4","9523",0,"MF16","AC1","SHAFT,DRIVE 1","00577",20240509,1000,18,18,,"T"
0,"64E4331120CE80","3525","9530",0,"MF10","AG4","BRACKET SWIVEL(1)","00093",20240509,1000,2,2,,"T"
0,"6MLY126A000080","6451","9543",0,"MF15","A0A","AIR SHROUD,CYLINDER 3 SUB","00094",20240509,1000,4,4,,"T"
0,"6GR24596010080","6451","9543",0,"MF15","A0A","COVER","00571",20240509,1000,10,10,,"T"
0,"6EK81337010080","6236","9546",0,"MF15","A0B","COVER,FLYWHEEL","00520",20240509,1000,30,30,,"T"
0,"69J1531110CA80","3525","9550",0,"MF10","AD2","PAN,OIL","00766",20240509,1000,20,20,,"T"
0,"6CB11411000080","9182","9832",0,"MF36","BC1","CRANKSHAFT,1","00659",20240509,1000,48,48,,"T"
0,"6G511411020080","93B5","9835",0,"MF36","BD3","CRANK,SHAFT 1","00285",20240509,1000,20,20,,"T"
0,"63PY1A4A020080","9182","9835",0,"MF36","BD1","CRANKSHAFT ASSY.,1","00007",20240509,1000,20,20,,"T"
0,"6C511411100080","9182","9844",0,"MF36","BEA","CRANKSHAFT,1","00224",20240509,1000,40,40,,"T"
0,"6EK11411010080","9182","9844",0,"MF36","BEA","CRANKSHAFT,1","00403",20240509,1000,30,30,,"T"
0,"6CJ14200020080","0161","9847",0,"MF32","BED","INTAKE ASSY.","00277",20240509,1000,12,12,,"T"
0,"6P281337020080","6451","9543",0,"MF15","A0A","COVER,FLYWHEEL","00253",20240509,1600,30,30,,"T2"
0,"6CE42741028D80","7510","9543",0,"MF20","A0A","APRON 1","00977",20240509,1600,30,30,,"T2"
0,"6CE42771028D80","7510","9543",0,"MF20","A0A","APRON 2","00977",20240509,1600,30,30,,"T2"
0,"63P82314010080","6451","9546",0,"MF15","A0B","COVER,IGNITION COIL","00700",20240509,1600,20,20,,"T2"
0,"6DA82314010080","6451","9546",0,"MF15","A0B","COVER,IGNITION COIL","00055",20240509,1600,50,50,,"T2"
0,"63P81337110080","6451","9546",0,"MF15","A0B","COVER,FLYWHEEL","00670",20240509,1600,20,20,,"T2"
0,"6DA81337010080","6451","9546",0,"MF15","A0B","COVER,FLYWHEEL","00040",20240509,1600,50,50,,"T2"
0,"69J4113111CA80","6298","9550",0,"MF10","AD2","MANIFOLD, EXT. 1","00767",20240509,1600,10,10,,"T2"
0,"69J4113710CA80","6298","9550",0,"MF10","AD2","GUIDE, EXHAUST","00767",20240509,1600,10,10,,"T2"
0,"6G54113702CA80","6298","9553",0,"MF10","AG2","GUIDE, EXHAUST","00811",20240509,1600,20,20,,"T2"
0,"6KNY161A000080","9856","9832",0,"MF35","BC1","HEAD CYL.1 ASSY.","00277",20240509,1600,10,10,,"T2"
0,"6KNY162A000080","9856","9832",0,"MF35","BC1","HEAD CYL.2 ASSY.","00277",20240509,1600,10,10,,"T2"
0,"6G581337000080","6451","9836",0,"MF31","BH2","COVER,FLYWHEEL","00689",20240509,1600,20,20,,"T2"
0,"6C514200030080","0161","9847",0,"MF32","BED","INTAKE ASSY.","00103",20240509,1600,30,30,,"T2"
0,"6CJ14200020080","0161","9847",0,"MF32","BED","INTAKE ASSY.","00278",20240509,1600,28,28,,"T2"
0,"6P245511010080","93B4","9523",0,"MF16","AC1","SHAFT,DRIVE 1","00758",20240509,1500,30,30,,"T"
0,"69J45611000080","93B4","9523",0,"MF16","AC1","SHAFT, PROPELLER","00074",20240509,1500,30,30,,"T"
0,"6CB45611000080","93B4","9523",0,"MF16","AC1","SHAFT,PROPELLER","00942",20240509,1500,80,80,,"T"
0,"63P45511010080","93B4","9529",0,"MF16","AF1","SHAFT,DRIVE 1","00825",20240509,1500,26,26,,"T"
0,"63P45511110080","93B4","9529",0,"MF16","AF1","SHAFT,DRIVE 1","00299",20240509,1500,20,20,,"T"
0,"64D1472120CA80","3525","9530",0,"MF11","AG3","MUFF.2","00565",20240509,1500,20,20,,"T"
0,"6C54311110CE80","3525","9542",0,"MF10","AJ4","BRACKET,CLAMP(1)","00120",20240509,1500,11,11,,"T"
0,"6C54311201CE80","3525","9542",0,"MF10","AJ4","BRACKET, CLAMP 2","00120",20240509,1500,12,12,,"T"
0,"6C54331101CE80","3525","9542",0,"MF10","AJ4","BRACKET SWIVEL(1)","00120",20240509,1500,12,12,,"T"
0,"6C54311102CE80","3525","9542",0,"MF10","AJ4","BRACKET, CLAMP 1","00016",20240509,1500,1,1,,"T"
0,"6EK81337010080","6236","9546",0,"MF15","A0B","COVER,FLYWHEEL","00521",20240509,1500,10,10,,"T"
0,"69J1531110CA80","3525","9550",0,"MF10","AD2","PAN,OIL","00767",20240509,1500,10,10,,"T"
0,"6EK81337010080","6236","9567",0,"MF15","A0C","COVER,FLYWHEEL","00583",20240509,1500,20,20,,"T"
