"íxÇÍì˙êî","ïiñ⁄î‘çÜ","ãüããé“","égópé“","êÊçsÇkÅ^Çs","ÇoÅ^ÇeÅiëóÇËêÊÅj","äiî[ÉçÉP","ïiñ⁄ñºèÃ","ÉIÅ[É_Å[ÇmÇè","éwé¶ì˙","î[ì¸éûçè","éwé¶êîó ","écêîó ","ê∂ééãÊï™","type"
0,"6EK11411010080","9182","9844",0,"MF36","BEA","CRANKSHAFT,1","00410",20240516,1500,60,60,,"T"
0,"6KAY427E008D80","9194","9543",0,"MF20","A0A","APRON 1 COMP. ASSY","00118",20240516,1200,10,10,,"T4"
0,"6KAY427H008D80","9194","9543",0,"MF20","A0A","APRON 2 COMP. ASSY","00118",20240516,1200,10,10,,"T4"
0,"6KAY427E00CE80","9194","9543",0,"MF20","A0A","APRON 1 COMP. ASSY","00171",20240516,1200,19,19,,"T4"
0,"6KAY427H00CE80","9194","9543",0,"MF20","A0A","APRON 2 COMP. ASSY","00171",20240516,1200,19,19,,"T4"
0,"6GRY427E008D80","9194","9543",0,"MF20","A0A","APRON 1 COMP. ASSY","00571",20240516,1500,7,7,,"T4"
0,"6GRY427H008D80","9194","9543",0,"MF20","A0A","APRON 2 COMP. ASSY","00571",20240516,1500,7,7,,"T4"
0,"6GRY427E00CE80","9194","9543",0,"MF20","A0A","APRON 1 COMP. ASSY","00029",20240516,1500,3,3,,"T4"
0,"6GRY427H00CE80","9194","9543",0,"MF20","A0A","APRON 2 COMP. ASSY","00029",20240516,1500,3,3,,"T4"
0,"6GR45141008D80","9194","9543",0,"MF20","A0A","COVER UPPER CASING COMP.","00571",20240516,1500,7,7,,"T4"
0,"6GR4514100CE80","9194","9543",0,"MF20","A0A","COVER UPPER CASING COMP.","00029",20240516,1500,3,3,,"T4"
0,"6KF42740008D80","9194","9543",0,"MF20","A0A","APRON 1 COMP.","00384",20240516,1000,2,2,,"T4"
0,"6KF42770008D80","9194","9543",0,"MF20","A0A","APRON COMP 2","00384",20240516,1000,2,2,,"T4"
0,"6KF4274000CE80","9194","9543",0,"MF20","A0A","APRON 1 COMP.","00853",20240516,1000,17,17,,"T4"
0,"6KF4277000CE80","9194","9543",0,"MF20","A0A","APRON COMP 2","00853",20240516,1000,17,17,,"T4"
