"íxÇÍì˙êî","ïiñ⁄î‘çÜ","ãüããé“","égópé“","êÊçsÇkÅ^Çs","ÇoÅ^ÇeÅiëóÇËêÊÅj","äiî[ÉçÉP","ïiñ⁄ñºèÃ","ÉIÅ[É_Å[ÇmÇè","éwé¶ì˙","î[ì¸éûçè","éwé¶êîó ","écêîó ","ê∂ééãÊï™","type"
0,"6KNY161A000080","9856","9832",0,"MF35","BC1","HEAD CYL.1 ASSY.","00276",20240508,1100,2,2,,"T2"
0,"6KNY162A000080","9856","9832",0,"MF35","BC1","HEAD CYL.2 ASSY.","00276",20240508,1100,2,2,,"T2"
0,"6KA45511000080","93B4","9523",0,"MF16","AC1","SHAFT,DRIVE 1","00821",20240508,1000,100,100,,"T"
0,"6CB45611000080","93B4","9523",0,"MF16","AC1","SHAFT,PROPELLER","00940",20240508,1000,80,80,,"T"
0,"6MLY126A000080","6451","9543",0,"MF15","A0A","AIR SHROUD,CYLINDER 3 SUB","00092",20240508,1000,60,60,,"T"
0,"6GR24596010080","6451","9543",0,"MF15","A0A","COVER","00570",20240508,1000,10,10,,"T"
0,"6EK81337010080","6236","9546",0,"MF15","A0B","COVER,FLYWHEEL","00518",20240508,1000,20,20,,"T"
0,"6GR11411010080","9182","9832",0,"MF36","BC1","CRANKSHAFT,1","00229",20240508,1000,10,10,,"T"
0,"63PY1A4A020080","9182","9835",0,"MF36","BD1","CRANKSHAFT ASSY.,1","00006",20240508,1000,4,4,,"T"
0,"6EK11411010080","9182","9844",0,"MF36","BEA","CRANKSHAFT,1","00402",20240508,1000,6,6,,"T"
0,"6FP14200030080","0161","9847",0,"MF32","BED","INTAKE ASSY.","00893",20240508,1000,10,10,,"T"
0,"6CJ14200020080","0161","9847",0,"MF32","BED","INTAKE ASSY.","00276",20240508,1000,20,20,,"T"
0,"6MLY126A000080","6451","9543",0,"MF15","A0A","AIR SHROUD,CYLINDER 3 SUB","00093",20240508,1600,36,36,,"T2"
0,"6CE42741028D80","7510","9543",0,"MF20","A0A","APRON 1","00976",20240508,1600,30,30,,"T2"
0,"6CE42771028D80","7510","9543",0,"MF20","A0A","APRON 2","00976",20240508,1600,30,30,,"T2"
0,"63P82314010080","6451","9546",0,"MF15","A0B","COVER,IGNITION COIL","00699",20240508,1600,20,20,,"T2"
0,"6DA82314010080","6451","9546",0,"MF15","A0B","COVER,IGNITION COIL","00054",20240508,1600,30,30,,"T2"
0,"63P81337110080","6451","9546",0,"MF15","A0B","COVER,FLYWHEEL","00669",20240508,1600,20,20,,"T2"
0,"6DA81337010080","6451","9546",0,"MF15","A0B","COVER,FLYWHEEL","00039",20240508,1600,30,30,,"T2"
0,"69J4113111CA80","6298","9550",0,"MF10","AD2","MANIFOLD, EXT. 1","00765",20240508,1600,10,10,,"T2"
0,"69J4113710CA80","6298","9550",0,"MF10","AD2","GUIDE, EXHAUST","00765",20240508,1600,10,10,,"T2"
0,"6FP14200030080","0161","9847",0,"MF32","BED","INTAKE ASSY.","00894",20240508,1600,20,20,,"T2"
0,"6C514200030080","0161","9847",0,"MF32","BED","INTAKE ASSY.","00102",20240508,1600,20,20,,"T2"
0,"6P245511010080","93B4","9523",0,"MF16","AC1","SHAFT,DRIVE 1","00757",20240508,1500,30,30,,"T"
0,"69J45611000080","93B4","9523",0,"MF16","AC1","SHAFT, PROPELLER","00073",20240508,1500,25,25,,"T"
0,"63P45511010080","93B4","9529",0,"MF16","AF1","SHAFT,DRIVE 1","00824",20240508,1500,28,28,,"T"
0,"63P45511110080","93B4","9529",0,"MF16","AF1","SHAFT,DRIVE 1","00298",20240508,1500,27,27,,"T"
0,"6EK81337010080","6236","9546",0,"MF15","A0B","COVER,FLYWHEEL","00519",20240508,1500,10,10,,"T"
0,"69J1531110CA80","3525","9550",0,"MF10","AD2","PAN,OIL","00765",20240508,1500,10,10,,"T"
0,"6EK81337010080","6236","9567",0,"MF15","A0C","COVER,FLYWHEEL","00582",20240508,1500,20,20,,"T"
0,"6CB11411000080","9182","9832",0,"MF36","BC1","CRANKSHAFT,1","00658",20240508,1500,60,60,,"T"
0,"6P2Y1A4A100080","9182","9832",0,"MF36","BC1","CRANKSHAFT ASSY.,1","00712",20240508,1500,30,30,,"T"
0,"6DAY1A4A000080","9182","9835",0,"MF36","BD1","CRANKSHAFT ASSY.,1","00118",20240508,1500,50,50,,"T"
